transaction_id,user_id,first_name,last_name,username,email,age,subscription,region,city,store_id,product_category,quantity,price,sale_amount,status,transaction_date,raw_timestamp
T0016735,U000070,Garrett,Sanchez,obrienshannon,jeffrey87@example.com,53.0,Basic,North,Delhi,S059,Clothing,1,66.88,66.88,Completed,11/11/2025,15/01/2025 02:43
T0009434,U005007,Madison,Graham,carolyn60,portermichael@example.net,61.0,Premium,North,Chandigarh,S023,Clothing,3,92.88,278.64,Completed,12/11/2024,2024-10-16 15:21:40
T0016209,U002630,Tammie,Christian,cookkristopher,rogersthomas@example.com,18.0,Basic,South,Hyderabad,S015,Clothing,4,44.08,176.32,Completed,01-Nov-2024,2026-03-28T15:27:52
T9001399,U006948,Noah,Lopez,icollins,robinsonamanda@example.org,60.0,Standard,North,Lucknow,S001,Books,6,,578.28,Completed,06-Oct-2025,2026-01-29 01:24:53
T0017638,U001468,Francisco,York,andersonteresa,brian48@example.com,48.0,Premium,West,Surat,S010,Clothing,5,12.64,63.2,Completed,09-23-2025,2025-03-22 01:50:01
T0012920,U006416,Laura,Mccann,robertwhite,jnguyen@example.net,39.0,Premium,West,Ahmedabad,S046,Clothing,3,182.04,546.12,,25-May-2025,2025-08-27 00:13:14
T9000217,U005324,Jennifer,Mann,vpierce,robertsbeth@example.com,62.0,Basic,East,Patna,S014,Beauty,5,62.05,310.25,Completed,2026-06-18,06/02/2026 01:09
T0011211,U003275,Michael,Knight,pamela00,wsexton@example.com,31.0,Premium,South,Bangalore,S057,Groceries,6,79.63,477.78,Completed,2025-09-23,21/12/2025 12:39
T0014467,U005276,Jacqueline,Smith,kbryant,sandra55@example.org,56.0,Basic,South,Hyderabad,S004,Groceries,1,150.16,150.16,Cancelled,2026-07-03,2025-08-16 16:57:26
T0006306,U002981,Lindsay,Andrews,joyce01,samanthapope@example.net,29.0,Standard,West,Mumbai,S040,Home & Kitchen,6,58.08,348.48,Completed,2024-09-13,2026-01-14 00:54:53
T0008038,U001325,Sherry,Collins,perezmelissa,,36.0,Standard,West,Mumbai,S057,Sports,2,48.44,96.88,Completed,11-19-2024,2026-03-17T11:33:04
T9002039,U000660,David,Garcia,baxterdavid,wendyestrada@example.org,55.0,Standard,West,Pune,S007,Beauty,6,62.64,375.84,Refunded,2024-10-26,27/10/2025 08:14
T0005758,U003749,Melissa,Mccoy,davidmiller,iperez@example.org,38.0,Basic,North,Chandigarh,S014,Groceries,6,41.66,249.96,Cancelled,2026-02-03,2024-08-15 20:20:42
T0017745,U004002,Daniel,Schneider,robinthompson,billyhancock@example.net,22.0,Premium,South,Chennai,S046,Clothing,4,21.16,84.64,Pending,04-29-2026,25/04/2025 23:31
T0009045,U006717,Carrie,Serrano,hayeskayla,veronica04@example.net,74.0,Premium,East,Bhubaneswar,S030,Books,3,126.3,378.9,Completed,20-Aug-2025,03/11/2024 08:40
T0009205,U006561,Damon,Mclaughlin,sarah79,victordodson@example.net,50.0,Basic,West,Mumbai,S018,Sports,6,47.37,284.22,Completed,2026-03-29,07/07/2025 09:29
T9001793,U002053,Robert,Kim,marshallthomas,rhonda59@example.org,47.0,Basic,North,Jaipur,S004,Sports,1,74.73,74.73,Completed,31-Oct-2025,2025-07-23T11:22:25
T0011112,U006324,Ana,Hart,kennedyjoseph,nmcclain@example.org,19.0,Standard,East,Patna,S043,Home & Kitchen,4,46.46,185.84,Completed,09-Aug-2025,2025-11-02T00:00:50
T0003464,U005385,David,Bell,,adam26@example.net,36.0,Standard,West,Ahmedabad,S056,Sports,2,108.96,217.92,Completed,2025-02-08,2025-03-12T22:33:50
T0009859,U001294,Xavier,Phillips,vgreen,james50@example.com,50.0,Basic,North,Lucknow,S029,Groceries,6,101.48,608.88,Completed,14-May-2025,2025-12-17 06:15:09
T0002085,U000115,Heidi,Barnes,kennethmorgan,moorestephen@example.net,66.0,Standard,South,Bangalore,S015,Electronics,2,48.27,96.54,Completed,2024-12-07,2025-10-17T21:34:25
T0009291,U001421,David,Edwards,nicholasbautista,rmadden@example.org,26.0,Basic,South,Chennai,S034,Groceries,3,,615.69,Completed,11-Jul-2025,17/10/2024 02:37
T0012287,U003298,Bonnie,Garcia,whitemartin,joshuahernandez@example.org,21.0,Premium,North,Jaipur,S037,Clothing,1,225.44,225.44,,02/03/2026,2024-12-05 22:58:25
T0000049,U004970,Daniel,Johnson,catherinestuart,stricklandfrank@example.com,46.0,Standard,East,Guwahati,S033,Home & Kitchen,6,76.21,457.26,Completed,02/03/2025,24/11/2025 22:06
T0009180,U006876,Diane,Coffey,johnsonpatrick,james17@example.net,27.0,Standard,East,Patna,S016,Groceries,4,74.6,298.4,Cancelled,10-Aug-2025,2024-10-31 05:49:28
T0003192,U005119,Kristin,Sanders,christinehart,kmurphy@example.org,18.0,Standard,West,Surat,S030,Home & Kitchen,6,60.98,365.88,Completed,19/01/2025,17/04/2026 03:38
T0009548,U001651,Ryan,Watson,clarkanthony,tray@example.com,42.0,Basic,East,Guwahati,S007,Electronics,3,56.88,170.64,Completed,2025-03-12,23/10/2024 19:27
T0017114,U000903,Faith,Ryan,hsmith,troy49@example.com,28.0,Premium,South,Chennai,S054,Sports,5,120.66,603.3,Completed,2025-06-26,2025-09-20 04:16:32
T9002129,U002296,Matthew,Mendez,stokescraig,matthewshaw@example.net,62.0,Standard,South,Chennai,S006,Groceries,4,156.93,627.72,Completed,08/04/2025,2025-06-01T14:45:52
T0008285,U003731,Mike,Maldonado,peggy21,melanietaylor@example.com,72.0,Premium,East,Patna,S046,Sports,1,174.67,174.67,Refunded,2024-10-02,05/02/2025 19:04
T0016421,U002238,Lauren,Adams,laurieharvey,,51.0,Basic,West,Surat,S048,Electronics,4,,474.84,Completed,2025-06-25,2025-11-25 02:46:12
T0012463,U002606,Michelle,Fernandez,anthonymiller,patricia68@example.org,71.0,Standard,South,Kochi,S008,Beauty,1,7.2,7.2,Completed,25-May-2026,2026-03-18 09:50:19
T0014570,U004240,Sean,Nguyen,cparrish,fsullivan@example.net,16.0,Premium,East,Patna,S050,Sports,1,45.38,45.38,Completed,12-12-2025,2026-06-29 19:16:07
T0011238,U002293,Carmen,Martin,johnsonjeffrey,juliemeyer@example.com,20.0,Basic,South,Kochi,S023,Electronics,5,,223.15,Completed,01-23-2026,30/11/2025 01:32
T0000904,U001125,Susan,Fisher,ronald66,jjohnson@example.org,39.0,Premium,West,Mumbai,S016,Groceries,3,205.05,615.15,Completed,20/01/2026,10/10/2025 12:43
T9000920,U004434,Amanda,Parker,deborah72,mmiller@example.com,60.0,Basic,North,Chandigarh,S046,Home & Kitchen,2,189.44,378.88,Completed,10-Jan-2025,2025-04-26 20:33:50
T0004025,U003283,Bryan,Jackson,johnsonjonathan,serranodiane@example.net,46.0,Standard,West,Surat,S053,Beauty,6,49.79,298.74,Refunded,04-Dec-2024,2024-09-08T06:41:22
T0017456,U000010,Anthony,Carter,abrown,yolandarivera@example.com,34.0,Premium,North,Lucknow,S005,Sports,4,93.91,375.64,Completed,2024-11-03,02/05/2025 15:36
T0017671,U006566,Scott,Cunningham,xsantiago,paulapeterson@example.org,68.0,Basic,South,Hyderabad,S048,Electronics,2,165.91,331.82,Completed,04-Feb-2025,26/11/2024 13:45
T0015117,U005914,Nicole,Owen,andersonpaul,sheila73@example.org,38.0,Premium,North,Delhi,S039,Clothing,6,123.38,740.28,,21/11/2024,08/01/2026 15:44
T0015049,U003705,Veronica,Thomas,morrisonkevin,john98@example.org,50.0,Basic,West,Ahmedabad,S057,Groceries,6,71.5,429.0,Completed,2025-03-31,19/06/2025 09:54
T0013021,U003843,Aaron,Humphrey,paula37,justin37@example.org,71.0,Premium,South,Hyderabad,S022,Sports,2,,156.82,Completed,12-17-2024,2026-07-13 16:34:54
T0017462,U006766,Robin,Powell,dthomas,bfrey@example.com,65.0,Standard,South,Hyderabad,S053,Clothing,1,149.97,149.97,Cancelled,08-16-2025,16/02/2025 01:27
T0002133,U003523,Diane,Oliver,joshuawood,allenkathryn@example.org,23.0,Premium,West,Ahmedabad,S001,Home & Kitchen,3,80.11,240.33,Completed,2025-03-21,29/09/2025 06:17
T0016896,U006971,Sarah,James,timothygonzales,qjohnson@example.com,52.0,Basic,North,Jaipur,S018,Books,5,98.83,494.15,Completed,05-11-2026,2026-03-01 17:20:25
T9000606,U003235,Omar,Allen,rsmith,suzannecisneros@example.net,39.0,Basic,East,Patna,S056,Electronics,1,293.15,293.15,,15/04/2026,20/08/2025 20:38
T0013145,U005982,Christina,Hickman,athomas,sharonrodriguez@example.org,51.0,Standard,West,Surat,S049,Home & Kitchen,6,,113.22,Completed,2024-10-16,2024-11-16 12:40:35
T0014289,U006347,Tara,Ritter,gonzalezrebekah,megan82@example.com,30.0,Basic,North,,S012,Books,2,22.14,44.28,Completed,11-29-2024,2025-08-11T11:31:09
T0005587,U003719,Jason,Schwartz,williamsjames,hbaxter@example.com,72.0,Standard,South,Hyderabad,S023,Beauty,1,103.69,103.69,Completed,26/01/2026,2026-05-30T20:13:00
T0016471,U005185,Jacqueline,Pearson,eric10,wilsontyler@example.net,24.0,Basic,West,Surat,S020,Groceries,1,69.0,,Completed,28/09/2024,2024-11-09 22:28:54
