customer_id,customer_name,email,registration_date,customer_type,is_email_valid
1,Allison Hill,donaldgarcia@hotmail.com,2023-02-08 20:28:06,PREMIUM,True
2,Angie Henderson,davisjesse@hotmail.com,2023-08-05 18:21:03,PREMIUM,True
3,Cristian Santos,lrobinson@yahoo.com,2025-04-27 04:44:17,REGULAR,True
4,Abigail Shaffer,jpeterson@gmail.com,2023-02-16 06:55:15,REGULAR,True
5,Gabrielle Davis,howardmaurice@yahoo.com,2025-07-24 04:53:06,REGULAR,True
6,Monica Herrera,smiller@hotmail.com,2025-10-06 13:26:52,PREMIUM,True
7,Shannon Ray,williamsjeremy@yahoo.com,2024-11-28 19:43:37,REGULAR,True
8,Dr. Sharon James,xreid@gmail.com,2023-01-11 02:17:28,PREMIUM,True
9,Daniel Adams,lynchgeorge@hotmail.com,2024-10-18 12:12:24,REGULAR,True
10,Joel Nelson,gabriellecameron@gmail.com,2024-06-06 21:09:15,REGULAR,True
11,Andrew Stewart,carl95@gmail.com,2024-07-11 15:43:16,PREMIUM,True
12,Jennifer Rocha,ithomas@gmail.com,2023-03-09 11:56:59,PREMIUM,True
13,Kimberly Burgess,zhurst@yahoo.com,2024-08-11 00:47:04,REGULAR,True
14,Zachary Hicks,camposmichelle@gmail.com,2025-09-03 13:23:25,REGULAR,True
15,Rebecca Henderson,cruzcaitlin@yahoo.com,2025-06-15 21:14:53,REGULAR,True
16,Tricia Valencia,frazierdanny@hotmail.com,2025-10-24 05:41:00,REGULAR,True
17,Patricia Peterson,ryan70@hotmail.com,2023-05-04 22:51:37,PREMIUM,True
18,Deborah Mason,williamrodriguez@hotmail.com,2024-08-13 12:07:58,REGULAR,True
19,Mark Lynch,nathanielmartin@hotmail.com,2024-07-20 17:55:46,REGULAR,True
20,Linda Burns,hickmannatasha@yahoo.com,2025-11-07 01:56:29,REGULAR,True
21,David Bradley,millertodd@gmail.com,2025-10-03 16:30:37,REGULAR,True
22,Kim Martinez,karroyo@yahoo.com,2025-04-09 18:10:40,PREMIUM,True
23,Lisa Brandt,jenniferross@hotmail.com,2024-08-12 11:07:27,REGULAR,True
